Piezo Voltage	Idler Rate	Coinc 1&2	Coinc 1&3
35.000000	83663.402649	1180.914345	1467.602607
36.000000	83666.905903	807.780715	1789.257284
37.000000	83652.263503	568.653100	1967.253066
38.000000	83695.835209	512.637341	1976.253616
39.000000	83633.328218	606.918844	1831.856267
40.000000	83679.453105	870.412567	1568.462580
41.000000	83636.656036	1252.070128	1175.205296
42.000000	83648.902996	1668.871200	802.954067
43.000000	83623.598011	1977.701670	553.899031
44.000000	83613.095083	2082.483617	509.887827
45.000000	83668.471305	1933.553870	688.950230
46.000000	83660.949108	1619.694691	1034.308657
47.000000	83586.771146	1194.564999	1451.650292
48.000000	83666.939181	790.881119	1815.123333
49.000000	83536.688378	544.053687	1983.452679
50.000000	83621.514463	520.287579	1957.819926
51.000000	83634.770000	738.991060	1694.436404
52.000000	83551.996342	1154.405792	1269.836371
53.000000	83537.853115	1600.861782	852.179655
54.000000	83590.384294	1957.873154	570.097561
55.000000	83679.686052	2066.184039	516.187685
56.000000	83610.505241	1941.455607	702.026508
57.000000	83620.766554	1567.034744	1084.160086
58.000000	83612.231177	1095.807190	1528.030211
59.000000	83613.560978	692.250151	1868.088765
60.000000	83483.506944	502.404593	1996.885769
61.000000	83604.842094	580.019486	1858.955620
62.000000	83644.077070	889.512112	1522.763670
63.000000	83480.082192	1352.501044	1070.207784
64.000000	83554.425649	1794.923815	687.250259
65.000000	83573.428128	2043.241233	503.018287
